item,model,language,variant,metric,value,n,source_path
D2,llamaguard,ar,base,recall,0.35,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,ar,base,n,30.0,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,ar,base,harmful_ratio,0.667,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,ar,base,parsefail_rate,0.0,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,es,base,f1,0.889,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,es,base,precision,1.0,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,es,base,recall,0.8,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,es,base,n,30.0,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,es,base,harmful_ratio,0.667,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,es,base,parsefail_rate,0.0,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,hi,base,f1,0.667,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,hi,base,precision,0.846,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,hi,base,recall,0.55,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,hi,base,n,30.0,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,hi,base,harmful_ratio,0.667,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,hi,base,parsefail_rate,0.0,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,id,base,f1,0.4,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,id,base,precision,1.0,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,id,base,recall,0.25,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,id,base,n,30.0,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,id,base,harmful_ratio,0.667,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,id,base,parsefail_rate,0.0,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,ru,base,f1,0.687,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,ru,base,precision,0.917,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,ru,base,recall,0.55,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,ru,base,n,30.0,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,ru,base,harmful_ratio,0.667,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,ru,base,parsefail_rate,0.0,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,th,base,f1,0.8,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,th,base,precision,0.933,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,th,base,recall,0.7,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,th,base,n,30.0,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,th,base,harmful_ratio,0.667,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,th,base,parsefail_rate,0.0,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,vi,base,f1,0.647,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,vi,base,precision,0.786,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,vi,base,recall,0.55,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,vi,base,n,30.0,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,vi,base,harmful_ratio,0.667,30,results/multilingual_llamaguard.csv (commit 34a8787)
D2,llamaguard,vi,base,parsefail_rate,0.0,30,results/multilingual_llamaguard.csv (commit 34a8787)
D1,polyguard,ar,base,f1,0.8,30,results/multilingual_polyguard.csv (commit 34a8787)
D1,polyguard,ar,base,precision,0.933,30,results/multilingual_polyguard.csv (commit 34a8787)
D1,polyguard,ar,base,recall,0.7,30,results/multilingual_polyguard.csv (commit 34a8787)
D1,polyguard,ar,base,n,30.0,30,results/multilingual_polyguard.csv (commit 34a8787)
D1,polyguard,ar,base,harmful_ratio,0.667,30,results/multilingual_polyguard.csv (commit 34a8787)
D1,polyguard,ar,base,parsefail_rate,0.0,30,results/multilingual_polyguard.csv (commit 34a8787)
D1,polyguard,es,base,f1,0.778,30,results/multilingual_polyguard.csv (commit 34a8787)
D1,polyguard,es,base,precision,0.875,30,results/multilingual_polyguard.csv (commit 34a8787)
D1,polyguard,es,base,recall,0.7,30,results/multilingual_polyguard.csv (commit 34a8787)
D1,polyguard,es,base,n,30.0,30,results/multilingual_polyguard.csv (commit 34a8787)
D1,polyguard,es,base,harmful_ratio,0.667,30,results/multilingual_polyguard.csv (commit 34a8787)
D1,polyguard,es,base,parsefail_rate,0.0,30,results/multilingual_polyguard.csv (commit 34a8787)
D1,polyguard,hi,base,f1,0.706,30,results/multilingual_polyguard.csv (commit 34a8787)
D1,polyguard,hi,base,precision,0.857,30,results/multilingual_polyguard.csv (commit 34a8787)
D1,polyguard,hi,base,recall,0.6,30,results/multilingual_polyguard.csv (commit 34a8787)
D1,polyguard,hi,base,n,30.0,30,results/multilingual_polyguard.csv (commit 34a8787)
D1,polyguard,hi,base,harmful_ratio,0.667,30,results/multilingual_polyguard.csv (commit 34a8787)
D1,polyguard,hi,base,parsefail_rate,0.0,30,results/multilingual_polyguard.csv (commit 34a8787)
D1,polyguard,ru,base,f1,0.8,30,results/multilingual_polyguard.csv (commit 34a8787)
D1,polyguard,ru,base,precision,0.933,30,results/multilingual_polyguard.csv (commit 34a8787)
D1,polyguard,ru,base,recall,0.7,30,results/multilingual_polyguard.csv (commit 34a8787)
D1,polyguard,ru,base,n,30.0,30,results/multilingual_polyguard.csv (commit 34a8787)
D1,polyguard,ru,base,harmful_ratio,0.667,30,results/multilingual_polyguard.csv (commit 34a8787)
D1,polyguard,ru,base,parsefail_rate,0.0,30,results/multilingual_polyguard.csv (commit 34a8787)
D1,polyguard,th,base,f1,0.765,30,results/multilingual_polyguard.csv (commit 34a8787)
D1,polyguard,th,base,precision,0.929,30,results/multilingual_polyguard.csv (commit 34a8787)
D1,polyguard,th,base,recall,0.65,30,results/multilingual_polyguard.csv (commit 34a8787)
D1,polyguard,th,base,n,30.0,30,results/multilingual_polyguard.csv (commit 34a8787)
D1,polyguard,th,base,harmful_ratio,0.667,30,results/multilingual_polyguard.csv (commit 34a8787)
D1,polyguard,th,base,parsefail_rate,0.0,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,ar,base,f1,0.872,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,ar,base,precision,0.895,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,ar,base,recall,0.85,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,ar,base,n,30.0,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,ar,base,harmful_ratio,0.667,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,ar,base,parsefail_rate,0.0,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,es,base,f1,0.837,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,es,base,precision,0.783,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,es,base,recall,0.9,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,es,base,n,30.0,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,es,base,harmful_ratio,0.667,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,es,base,parsefail_rate,0.0,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,hi,base,f1,0.625,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,hi,base,precision,0.833,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,hi,base,recall,0.5,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,hi,base,n,30.0,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,hi,base,harmful_ratio,0.667,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,hi,base,parsefail_rate,0.0,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,id,base,f1,0.588,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,id,base,precision,0.714,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,id,base,recall,0.5,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,id,base,n,30.0,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,id,base,harmful_ratio,0.667,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,id,base,parsefail_rate,0.0,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,ru,base,f1,0.811,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,ru,base,precision,0.882,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,ru,base,recall,0.75,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,ru,base,n,30.0,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,ru,base,harmful_ratio,0.667,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,ru,base,parsefail_rate,0.0,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,th,base,f1,0.889,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,th,base,precision,1.0,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,th,base,recall,0.8,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,th,base,n,30.0,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,th,base,harmful_ratio,0.667,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,th,base,parsefail_rate,0.0,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,vi,base,f1,0.878,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,vi,base,precision,0.857,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,vi,base,recall,0.9,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,vi,base,n,30.0,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,vi,base,harmful_ratio,0.667,30,results/multilingual_polyguard.csv (commit 34a8787)
D2,polyguard,vi,base,parsefail_rate,0.0,30,results/multilingual_polyguard.csv (commit 34a8787)
D1,sguard,ar,base,f1,0.857,30,results/multilingual_sguard.csv (commit 34a8787)
D1,sguard,ar,base,precision,1.0,30,results/multilingual_sguard.csv (commit 34a8787)
D1,sguard,ar,base,recall,0.75,30,results/multilingual_sguard.csv (commit 34a8787)
D1,sguard,ar,base,n,30.0,30,results/multilingual_sguard.csv (commit 34a8787)
D1,sguard,ar,base,harmful_ratio,0.667,30,results/multilingual_sguard.csv (commit 34a8787)
D1,sguard,ar,base,parsefail_rate,0.0,30,results/multilingual_sguard.csv (commit 34a8787)
D1,sguard,es,base,f1,0.919,30,results/multilingual_sguard.csv (commit 34a8787)
D1,sguard,es,base,precision,1.0,30,results/multilingual_sguard.csv (commit 34a8787)
D1,sguard,es,base,recall,0.85,30,results/multilingual_sguard.csv (commit 34a8787)
D1,sguard,es,base,n,30.0,30,results/multilingual_sguard.csv (commit 34a8787)
D1,sguard,es,base,harmful_ratio,0.667,30,results/multilingual_sguard.csv (commit 34a8787)
D1,sguard,es,base,parsefail_rate,0.0,30,results/multilingual_sguard.csv (commit 34a8787)
D1,sguard,hi,base,f1,0.811,30,results/multilingual_sguard.csv (commit 34a8787)
D1,sguard,hi,base,precision,0.882,30,results/multilingual_sguard.csv (commit 34a8787)
D1,sguard,hi,base,recall,0.75,30,results/multilingual_sguard.csv (commit 34a8787)
D1,sguard,hi,base,n,30.0,30,results/multilingual_sguard.csv (commit 34a8787)
D1,sguard,hi,base,harmful_ratio,0.667,30,results/multilingual_sguard.csv (commit 34a8787)
D1,sguard,hi,base,parsefail_rate,0.0,30,results/multilingual_sguard.csv (commit 34a8787)
D1,sguard,ru,base,f1,0.919,30,results/multilingual_sguard.csv (commit 34a8787)
D1,sguard,ru,base,precision,1.0,30,results/multilingual_sguard.csv (commit 34a8787)
D1,sguard,ru,base,recall,0.85,30,results/multilingual_sguard.csv (commit 34a8787)
D1,sguard,ru,base,n,30.0,30,results/multilingual_sguard.csv (commit 34a8787)
D1,sguard,ru,base,harmful_ratio,0.667,30,results/multilingual_sguard.csv (commit 34a8787)
D1,sguard,ru,base,parsefail_rate,0.0,30,results/multilingual_sguard.csv (commit 34a8787)
D1,sguard,th,base,f1,0.686,30,results/multilingual_sguard.csv (commit 34a8787)
D1,sguard,th,base,precision,0.8,30,results/multilingual_sguard.csv (commit 34a8787)
D1,sguard,th,base,recall,0.6,30,results/multilingual_sguard.csv (commit 34a8787)
D1,sguard,th,base,n,30.0,30,results/multilingual_sguard.csv (commit 34a8787)
D1,sguard,th,base,harmful_ratio,0.667,30,results/multilingual_sguard.csv (commit 34a8787)
D1,sguard,th,base,parsefail_rate,0.0,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,ar,base,f1,0.788,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,ar,base,precision,1.0,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,ar,base,recall,0.65,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,ar,base,n,30.0,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,ar,base,harmful_ratio,0.667,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,ar,base,parsefail_rate,0.0,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,es,base,f1,0.872,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,es,base,precision,0.895,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,es,base,recall,0.85,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,es,base,n,30.0,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,es,base,harmful_ratio,0.667,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,es,base,parsefail_rate,0.0,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,hi,base,f1,0.842,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,hi,base,precision,0.889,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,hi,base,recall,0.8,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,hi,base,n,30.0,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,hi,base,harmful_ratio,0.667,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,hi,base,parsefail_rate,0.0,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,id,base,f1,0.687,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,id,base,precision,0.917,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,id,base,recall,0.55,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,id,base,n,30.0,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,id,base,harmful_ratio,0.667,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,id,base,parsefail_rate,0.0,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,ru,base,f1,0.824,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,ru,base,precision,1.0,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,ru,base,recall,0.7,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,ru,base,n,30.0,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,ru,base,harmful_ratio,0.667,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,ru,base,parsefail_rate,0.0,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,th,base,f1,0.75,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,th,base,precision,1.0,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,th,base,recall,0.6,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,th,base,n,30.0,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,th,base,harmful_ratio,0.667,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,th,base,parsefail_rate,0.0,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,vi,base,f1,0.667,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,vi,base,precision,1.0,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,vi,base,recall,0.5,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,vi,base,n,30.0,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,vi,base,harmful_ratio,0.667,30,results/multilingual_sguard.csv (commit 34a8787)
D2,sguard,vi,base,parsefail_rate,0.0,30,results/multilingual_sguard.csv (commit 34a8787)
